number,Latency (s),SP size(cm²),datetime_start,datetime_complete,duration,params_area,params_cap_size,user_attrs_Eb,user_attrs_Ec,user_attrs_Er,user_attrs_Ew,user_attrs_Lb,user_attrs_Lc,user_attrs_Lr,user_attrs_Lw,system_attrs_nsga2:generation,state,ckpt_energy,lat*sp,system_efficiency,cap_leakage
24,4.86,2.9999999999999996,2024-04-17 20:55:22.786486,2024-04-17 20:55:23.387344,0 days 00:00:00.600858,0.0003,0.0001,0.0014018400000000001,0.0004081995018497434,0.001401048735230769,5.066753815384615e-05,1.2600000000000002,0.08333999999999998,0.20662645735800003,0.0063709027438744095,0,COMPLETE,0.0028535562733846154,14.579999999999998,0.008698540690091803,4.374e-06
39,1.81,5.999999999999999,2024-04-17 20:57:02.328029,2024-04-17 20:57:03.072270,0 days 00:00:00.744241,0.0006,0.0001,0.0007788000000000001,0.00025393503514918955,0.0012023145767692308,2.6702045846153848e-05,0.7000000000000002,0.05166,0.17770998104800004,0.0034555204206470143,0,COMPLETE,0.0020078166226153845,10.86,0.008216970012749682,1.629e-06
47,0.95,9.0,2024-04-17 20:57:45.713551,2024-04-17 20:57:46.387686,0 days 00:00:00.674135,0.0009,0.0001,0.00046728000000000004,0.0001768028017989126,0.0010977634975384617,1.4719299692307689e-05,0.42000000000000004,0.03582,0.16248374289300002,0.0019978292590333165,0,COMPLETE,0.0015797627972307694,8.549999999999999,0.008211892383265858,8.550000000000001e-07
24,0.79,11.999999999999998,2024-04-17 20:58:04.483893,2024-04-17 20:58:05.101572,0 days 00:00:00.617679,0.0012,0.0001,0.00038940000000000003,0.00018162356638330493,0.0010994886706153846,1.5041079692307692e-05,0.35000000000000003,0.036809999999999996,0.16273974289300003,0.002045829881343791,0,COMPLETE,0.0015039297503076923,9.479999999999999,0.007050772387752894,7.110000000000001e-07
35,0.95,14.999999999999998,2024-04-17 20:59:15.950961,2024-04-17 20:59:16.499749,0 days 00:00:00.548788,0.0014999999999999998,0.0001,0.00054516,0.00022822429069909722,0.0011566686056923077,1.9518472923076922e-05,0.49000000000000005,0.04638,0.17116099052400005,0.0026477721379409304,0,COMPLETE,0.0017213470786153846,14.249999999999998,0.005368723831938822,8.550000000000001e-07
25,0.9,17.999999999999996,2024-04-17 20:59:40.107794,2024-04-17 20:59:40.539060,0 days 00:00:00.431266,0.0017999999999999997,0.0001,0.00054516,0.0002025135462490049,0.0011256066826153847,1.7802312923076923e-05,0.49000000000000005,0.0411,0.16655699052400005,0.0023917688189517344,0,COMPLETE,0.0016885689955384617,16.199999999999996,0.004632562402025959,8.100000000000001e-07
6,0.66,21.0,2024-04-17 20:59:58.664735,2024-04-17 20:59:59.269761,0 days 00:00:00.605026,0.0021,0.0001,0.00038940000000000003,0.0001768028017989126,0.0010933518665384614,1.4035873076923075e-05,0.35000000000000003,0.03582,0.16185711907750003,0.0019288611385687056,0,COMPLETE,0.0014967877396153846,13.860000000000001,0.004799704151404151,5.94e-07
42,0.86,23.999999999999996,2024-04-17 21:00:55.271048,2024-04-17 21:00:55.784797,0 days 00:00:00.513749,0.0024,0.0001,0.00046728000000000004,0.00022822429069909722,0.0011539849746923078,1.883504630769231e-05,0.42000000000000004,0.04638,0.17079036670850004,0.0025788040174763195,0,COMPLETE,0.0016401000210000002,20.639999999999997,0.003531653791989665,7.74e-07
35,0.81,26.999999999999996,2024-04-17 21:01:23.477573,2024-04-17 21:01:23.995269,0 days 00:00:00.517696,0.0026999999999999997,0.0001,0.00046728000000000004,0.00018162356638330493,0.001103900301615385,1.5724506307692306e-05,0.42000000000000004,0.036809999999999996,0.16336636670850002,0.0021147980018084017,0,COMPLETE,0.0015869048079230773,21.869999999999997,0.003224924671895702,7.29e-07
14,0.87,29.999999999999996,2024-04-17 21:01:42.255393,2024-04-17 21:01:42.730306,0 days 00:00:00.474913,0.0029999999999999996,0.0001,0.00046728000000000004,0.00020733431083339723,0.0011290598556923078,1.8124092923076922e-05,0.42000000000000004,0.042089999999999995,0.16706899052400004,0.0024397694412622087,0,COMPLETE,0.0016144639486153848,26.099999999999998,0.0027491936119461644,7.830000000000001e-07
