number,Latency (s),SP size(cm²),datetime_start,datetime_complete,duration,params_area,params_cap_size,user_attrs_Eb,user_attrs_Ec,user_attrs_Er,user_attrs_Ew,user_attrs_Lb,user_attrs_Lc,user_attrs_Lr,user_attrs_Lw,system_attrs_nsga2:generation,state,ckpt_energy,lat*sp,system_efficiency,cap_leakage
13,13.44,2.9999999999999996,2024-04-17 20:55:11.418493,2024-04-17 20:55:11.826894,0 days 00:00:00.408401,0.0003,0.0001,0.00763224,0.0025295747955968676,0.0009373622768461539,0.000797885212923077,6.86,0.5192040000000001,0.104858142704,0.07091786040420361,0,COMPLETE,0.009367487489769231,40.31999999999999,0.010325713723290601,1.2095999999999999e-05
0,3.33,5.999999999999999,2024-04-17 20:55:26.996658,2024-04-17 20:55:27.270334,0 days 00:00:00.273676,0.0006,0.0001,0.00218064,0.0025295747955968676,0.0005519854167692307,0.00047672142646153855,1.9600000000000002,0.5192040000000001,0.064889071352,0.04711291457906888,0,COMPLETE,0.0032093468432307696,19.979999999999997,0.007139020894740896,2.9970000000000003e-06
9,1.82,9.0,2024-04-17 20:56:32.136586,2024-04-17 20:56:32.506355,0 days 00:00:00.369769,0.0009,0.0001,0.00109032,0.0025295747955968676,0.0004876003843846153,0.0004725127464615386,0.9800000000000001,0.5192040000000001,0.055425071352000005,0.04651946241006652,0,COMPLETE,0.002050433130846154,16.38,0.005563514125210024,1.6380000000000002e-06
40,1.23,11.999999999999998,2024-04-17 20:57:18.765103,2024-04-17 20:57:18.994653,0 days 00:00:00.229550,0.0012,0.0001,0.00054516,0.0025295747955968676,0.0004554078681923076,0.00047040840646153854,0.49000000000000005,0.5192040000000001,0.050693071352000005,0.046222736325565346,0,COMPLETE,0.0014709762746538462,14.759999999999998,0.004429317297964007,1.1070000000000002e-06
1,0.99,14.999999999999998,2024-04-17 20:57:22.654264,2024-04-17 20:57:22.877954,0 days 00:00:00.223690,0.0014999999999999998,0.0001,0.00031152,0.0025295747955968676,0.0004416110755384615,0.0004695065464615385,0.28,0.5192040000000001,0.048665071352,0.04609556800363627,0,COMPLETE,0.001222637622,14.849999999999998,0.0036592222132435467,8.910000000000001e-07
37,0.78,17.999999999999996,2024-04-17 20:57:49.357902,2024-04-17 20:57:49.707520,0 days 00:00:00.349618,0.0017999999999999997,0.0001,7.788e-05,0.0025295747955968676,0.0004278142828846154,0.00046860468646153856,0.07,0.5192040000000001,0.046637071352,0.04596839968170719,0,COMPLETE,0.000974298969346154,14.039999999999997,0.0030842005993863696,7.020000000000001e-07
1,0.76,21.0,2024-04-17 20:57:53.669166,2024-04-17 20:57:53.855212,0 days 00:00:00.186046,0.0021,0.0001,7.788e-05,0.0025295747955968676,0.0004278142828846154,0.00046860468646153856,0.07,0.5192040000000001,0.046637071352,0.04596839968170719,0,COMPLETE,0.000974298969346154,15.96,0.0027131689483323694,6.84e-07
12,0.76,23.999999999999996,2024-04-17 20:58:36.800143,2024-04-17 20:58:39.024417,0 days 00:00:02.224274,0.0024,0.0001,7.788e-05,0.0025295747955968676,0.0004278142828846154,0.00046860468646153856,0.07,0.5192040000000001,0.046637071352,0.04596839968170719,0,COMPLETE,0.000974298969346154,18.24,0.002374022829790824,6.84e-07
24,0.75,26.999999999999996,2024-04-17 20:59:06.064257,2024-04-17 20:59:06.945736,0 days 00:00:00.881479,0.0026999999999999997,0.0001,7.788e-05,0.0025295747955968676,0.0004278142828846154,0.00046860468646153856,0.07,0.5192040000000001,0.046637071352,0.04596839968170719,0,COMPLETE,0.000974298969346154,20.249999999999996,0.0021383790822412166,6.750000000000001e-07
0,0.75,29.999999999999996,2024-04-17 20:59:14.206792,2024-04-17 20:59:14.461414,0 days 00:00:00.254622,0.0029999999999999996,0.0001,7.788e-05,0.0025295747955968676,0.0004278142828846154,0.00046860468646153856,0.07,0.5192040000000001,0.046637071352,0.04596839968170719,0,COMPLETE,0.000974298969346154,22.499999999999996,0.0019245411740170949,6.750000000000001e-07
