number,Latency (s),SP size(cm²),datetime_start,datetime_complete,duration,params_area,params_cap_size,user_attrs_Eb,user_attrs_Ec,user_attrs_Er,user_attrs_Ew,user_attrs_Lb,user_attrs_Lc,user_attrs_Lr,user_attrs_Lw,system_attrs_nsga2:generation,state,ckpt_energy,lat*sp,system_efficiency,cap_leakage
18,26.17,2.9999999999999996,2024-04-17 20:55:23.132343,2024-04-17 20:55:24.275122,0 days 00:00:01.142779,0.0003,0.0001,0.0186912,0.0020927196061098024,0.0014909216259615383,0.0009043378630000001,16.800000000000004,0.4275175,0.18204967597326926,0.08137777037805977,0,COMPLETE,0.02108645948896154,78.50999999999999,0.011937026841003435,2.3553000000000006e-05
37,13.34,5.999999999999999,2024-04-17 20:57:32.655890,2024-04-17 20:57:33.472014,0 days 00:00:00.816124,0.0006,0.0001,0.01238292,0.0020927196061098024,0.000990357575923077,0.0009236275971538463,11.130000000000003,0.4275175,0.10589279094026924,0.08097419518563544,0,COMPLETE,0.014296905173076923,80.03999999999999,0.007938755718294698,1.2006000000000002e-05
12,11.62,9.0,2024-04-17 20:57:59.308056,2024-04-17 20:58:00.434239,0 days 00:00:01.126183,0.0009,0.0001,0.01074744,0.0020927196061098024,0.0006410953050384616,0.0004349782417692309,9.660000000000002,0.4275175,0.08117078341026925,0.046594880356934314,0,COMPLETE,0.011823513546807694,104.58,0.0050247608622033925,1.0458e-05
44,11.43,11.999999999999998,2024-04-17 20:59:44.098356,2024-04-17 20:59:44.692584,0 days 00:00:00.594228,0.0012,0.0001,0.010591680000000001,0.0020927196061098024,0.0007900530610384617,0.0007230131897692309,9.520000000000001,0.4275175,0.08714914029726924,0.06655042606112364,0,COMPLETE,0.012104746250807694,137.15999999999997,0.0039223441401146095,1.0287e-05
29,10.93,14.999999999999998,2024-04-17 21:00:16.115326,2024-04-17 21:00:17.243393,0 days 00:00:01.128067,0.0014999999999999998,0.0001,0.0101244,0.0020927196061098024,0.000504759012423077,0.00038357403500000005,9.100000000000001,0.4275175,0.06374693502626926,0.042853693814627176,0,COMPLETE,0.011012733047423078,163.95,0.002985390680742253,9.837000000000001e-06
40,11.02,17.999999999999996,2024-04-17 21:01:11.572125,2024-04-17 21:01:12.414817,0 days 00:00:00.842692,0.0017999999999999997,0.0001,0.010202280000000001,0.0020927196061098024,0.0006124635183846154,0.0005308723953076923,9.170000000000002,0.4275175,0.07149848017826925,0.05310229630675899,0,COMPLETE,0.01134561591369231,198.35999999999996,0.002542093144606285,9.918000000000002e-06
0,11.0,21.0,2024-04-17 21:01:21.728633,2024-04-17 21:01:22.681617,0 days 00:00:00.952984,0.0021,0.0001,0.010202280000000001,0.0020927196061098024,0.000619157633769231,0.0005308723953076923,9.170000000000002,0.4275175,0.07249048017826924,0.05310229630675899,0,COMPLETE,0.011352310029076924,231.0,0.002184186633781034,9.900000000000002e-06
2,11.08,23.999999999999996,2024-04-17 21:02:08.552782,2024-04-17 21:02:09.215012,0 days 00:00:00.662230,0.0024,0.0001,0.01028016,0.0020927196061098024,0.0005270768050769232,0.00038455808161538466,9.240000000000002,0.4275175,0.06702155884176925,0.04296505137573481,0,COMPLETE,0.011191794886692308,265.91999999999996,0.0018705366504031804,9.972e-06
42,10.83,26.999999999999996,2024-04-17 21:04:20.143007,2024-04-17 21:04:20.943868,0 days 00:00:00.800861,0.0026999999999999997,0.0001,0.010046520000000001,0.0020927196061098024,0.0005888776482307693,0.0005279743156153847,9.030000000000001,0.4275175,0.06814273728526925,0.05285804534654343,0,COMPLETE,0.011163371963846156,292.40999999999997,0.0016967609351931508,9.747e-06
18,11.05,29.999999999999996,2024-04-17 21:05:08.647676,2024-04-17 21:05:09.289943,0 days 00:00:00.642267,0.0029999999999999996,0.0001,0.01028016,0.0020927196061098024,0.0006003547341153847,0.0005319386285384616,9.240000000000002,0.4275175,0.06965572780926925,0.05319784310704519,0,COMPLETE,0.011412453362653846,331.5,0.0015300758656147271,9.945e-06
